comment,amount,link
,0.008,https://etherscan.io/tx/0x0102aa9d3dec3e318c8d95181cb69942d54020a02fafa4a9a842586ebba5bfa5
,0.0495,https://etherscan.io/tx/0x755b2054e58aadc341d505cca1badee8cb6039aace3257574b79d8c42479529c
,0.05,https://etherscan.io/tx/0xd39df0ca32f18ca777d8ec85fccbffdfea2bfb731bbca9faab1b6b1fc91d0153
,1,https://etherscan.io/tx/0x68b4e6c09cdd0ad3ae0e9e842b32e7438ca8e8a823797cac5591cc8167480eaf
we the people,0.05,https://etherscan.io/tx/0x95e6107ae7768f0df6c98a2e666d9cb0a6beb04debc397d3797328deb6c0d0bd
wow i cant believe you scrolled all the way down here. WAGBTCOTUS!,0.1428,https://etherscan.io/tx/0xccd9fb8cfc47e23b74f6e14c3cd9c515f646c561c398978f1f6597b6d06e8b31
,1,https://etherscan.io/tx/0x95f2b80a7f4307be6c47d78f2decc88e6b9ff6f4b5da9a3ed78872153a708a14
,0.2,https://etherscan.io/tx/0x6765ef5cf59f0c99d2eb2a434f470f882e7d85d037fa895083bc5ecb87396578
,0.01,https://etherscan.io/tx/0x1ba21bb23c93ecb5a2c1cff4312eb633ba708c533b16ba0245e1e0d7e5ef6f56
祝我发财,0.46,https://etherscan.io/tx/0x997650f1bb500106aec7d449fc55dcf74ef43a92799d3e4fe35831c179f2c1cf
,0.01,https://etherscan.io/tx/0xf702ddd3001dec0da85ff905ce642810fdc62eb8a58eea47a1b4c01ce58b9858
,0.01,https://etherscan.io/tx/0xefb1552cd0e33e0503e08d1f2a9b01fa5d1d8ed90964927d507b479bc5cfdca2
,0.48,https://etherscan.io/tx/0x75e227bbf3617774bcc3175d500dae1a9d6ec22256134244533658a491d02bae
Pavlos o Pareas,0.03,https://etherscan.io/tx/0x6bd2bbec3c7005d342387f8c4832ecf4addc7ed659d7e905aaa2ab1256a1de1d
,1,https://etherscan.io/tx/0x3b8d271547adbeb15a7a84113ad2fca75dde540a81338495958405140dba5c65
long,2,https://etherscan.io/tx/0x3612e002f6e9ccf5188f1d96bc6038c58e571719f1973a53dc5e8f7229644bcf
,2.5,https://etherscan.io/tx/0xc324e2da1947bae83c5a45e819b6d7fb1bb69ff090624a477a7233a165cbd211
,0.1,https://etherscan.io/tx/0x35405e3fd5bab67e48604b91ce5cc691d84e9d1e56d33401efe264225fd677fd
,0.1,https://etherscan.io/tx/0xfef184843349526fd87f80ada6b790b28634ffd5d0dfc5cb6f3dd7851c3b772f
,0.05,https://etherscan.io/tx/0xf2565c23aba0c866cda25da8dc85c7c55cf4fa9a21b49ad48da18fb707c76d5b
,0.1,https://etherscan.io/tx/0xa095ca94191b288078c44721d9ea7976ff6c6c08f847586605ea6e6dac19a6fa
For the people,0.02,https://etherscan.io/tx/0x810248eba7e9df27a3661db98b94ba11477600c7d534bf94b6869bce74b9de55
Let's get this bread!,0.025,https://etherscan.io/tx/0x75a9f8425c8ab15a8ca9d4eb72beb79f15cb61be0385d2c93111d2fe2f8552e0
,0.01,https://etherscan.io/tx/0x17f9062860cd22742aaa9c88c0ca82d7d471a9e57ef246e34272cbddb6be4e11
,1,https://etherscan.io/tx/0xa27fa4641f5b48b81bc420fe40ca78232473d873a0c438aad346e5aa148478bd
,0.02,https://etherscan.io/tx/0x2e245c16019a8d2a730c93ec641b310eafb59e42b8aad1c51c72fe97da1951c1
,0.025,https://etherscan.io/tx/0xfa57fe862ba1b441141caf73f7516dbe10762eed1d5f38695b84bcb236f03430
pump！,60,https://etherscan.io/tx/0x70b20e871e3417d02bfe01d7dc64f1c336838595fc98bf09969664195d00d8b1
,0.2,https://etherscan.io/tx/0xf111aebbe049596d6ce64549dd26dd92a906f6a756643cd0106ec32b955a9c3d
Pop the champagne,0.01,https://etherscan.io/tx/0xa398a012f7a8415e2d201dfdf0d4ddc32dbe014485c4195ac69e3d07c5dfc988
,0.01,https://etherscan.io/tx/0x7db14f6d442752979676a161c61628ca9c0db24719374f006b91f82f22677a0d
,0.01,https://etherscan.io/tx/0x60062cee4b323df871a819760544b2eb38f8cc199cbd12993fac5f86d35d38ee
,0.05,https://etherscan.io/tx/0xa57367d3e529c6a9f60c8ad3bcf0771b44aa211c88e7da575f32e28b393a9270
ode,0.0333,https://etherscan.io/tx/0x6520ad8cbf4f07df91d1e8918b4afa01998ba1351a6be0545a8a536e131ba503
,0.025,https://etherscan.io/tx/0x57dd36546f1a8b79875b293cd4d9cd7483a2308efe46bd06d5d78a0eea4d757a
,0.01,https://etherscan.io/tx/0xc981e1ae1630b9cde99c6546dbb764224688b6d2b8c7b72e7bd723fe8a952f6b
10 years future-JoyceWu,10,https://etherscan.io/tx/0x56d558f1bd51daa26afbc733ca6b7dfe9e566ab870815efc3f28b030bc662ed0
MAGA!!!,0.01,https://etherscan.io/tx/0xaf9681f6ce97ac1f15fa9f7f0859d9eeb991d30c3d1da193b216e5ff3427076c
,0.1,https://etherscan.io/tx/0x1b31a4047e22e0cfb82410900d027f3edce4d855b1d6eacd26707174db7e0783
o memo burası texas amerika,0.025,https://etherscan.io/tx/0xecc844bc760f6cc48f52bf1010abcae3841b406ed605b576813ad00acb9ae36b
...in order to form a perfect decentralized union...,0.05,https://etherscan.io/tx/0x09a410e8c2fd5a483ab34f2127c9c752379ee547195cae455344501b544b93cd
MAGA,0.01,https://etherscan.io/tx/0xd2b2ed5fdd2fb1e8f401790172118d0135d30cecab6c314de1e086529add98eb
我爱中国,0.1,https://etherscan.io/tx/0xb7f17519bab23e9041591afef0a461295907be9c1c07da10777d8e1241543c28
Lets go!,0.05,https://etherscan.io/tx/0x455631164e3edae42bf94e2aebb525e6e0226f3d5496ad262ea242b6e74e4979
,0.05,https://etherscan.io/tx/0xd1a264fce6cc8ec87695b3b340a1b2a7fe4712399a0dba66d15f82e99ad7ac7e
Welcome to the 21st century,1,https://etherscan.io/tx/0xc3801af385a07fceabddeda93bdc813912858645889db8215094c1776b9b72c2
,0.01,https://etherscan.io/tx/0xeaf23d8f1a83b49c33b67d9039f8d5131f62b6994cefd940de05708f3f62cb1a
,0.07,https://etherscan.io/tx/0x71d8ad70b702c06fbace64b1ab362b60f3fdc63fec6f68953e71946697b70773
,0.1,https://etherscan.io/tx/0xcc5c6cc7885991ccbf732bd1f75c0306783ccb4831afed0d9b25c1120a079dc4
,0.02,https://etherscan.io/tx/0x8c0941b19d20bde183de7859ba36aba5e76986c43bb87394ac1ca3215dde0b38
wow awesome!,0.03,https://etherscan.io/tx/0x5a66e33171d9e8ae3b2252a235752d5ceb16afe47988876ef98ce1000097f2c7
,0.1,https://etherscan.io/tx/0xacf98321276472cc03bc7b52402a6698811426b821925dadcd4b79fa2bf70fbd
real CONS,0.01,https://etherscan.io/tx/0xeb29e2c4570c47e4a8d010d6ad753552a2de57cb9ae23bdc505a2f58d1632c24
real CONS,1,https://etherscan.io/tx/0xa59ba1bf2d322574a81871340e6744356a078b291b664a628a0918d1a16d4f5f
We will win,0.04,https://etherscan.io/tx/0x0bcd23b0365d22158aa13391cb835e00f3285e6f4cd33419d3c662fed584e136
,0.01,https://etherscan.io/tx/0x6e2d30f96c7c39454136afa85cc9a857c0164654f854ffcc5e02fee970871883
to the damn moon boi,0.14,https://etherscan.io/tx/0x71cc4b9642cb0580d6b887244817f10d670b91776f15824e7b86f822c3239123
,1,https://etherscan.io/tx/0x69b88a8ae74c9117c9a0809e9851be071bf538b9cbc690f5e8d4dc299bded18b
,1.8,https://etherscan.io/tx/0xeb3f869a75c6bc1ca8dfcd29cc9825e94aa455bdee4360a0a5a33a54f52191ee
,0.1,https://etherscan.io/tx/0x6e1d11c0a8f4a6783f0e2f7c3c89fb4bf7b09be8e7f8a18db3bca963aa7fa9f1
real dao,0.01,https://etherscan.io/tx/0x07de835d9a4497b71a6418ec3d3a883797c5723aca90c74bb396235ca66b588d
,0.08,https://etherscan.io/tx/0x98da1fc7caaf41f1dae5d8441f0dbb23f14fdc6dd2f5e3916d0a24283adb9c59
nicholas cage will be proud,0.0095,https://etherscan.io/tx/0x4502392b98d3fd653570879e64f661f3bc7b809529d2949e68905b3504ef655c
"Decentralization = I(We) decide for ourselves, thank you!",0.02,https://etherscan.io/tx/0x455915c88f93a1e76b1c110deae01ea3a4f56d58e87bf63ce6c7ef6efc2082d1
"For liberty ~Pavlos Moros, LONDON 2021",0.01,https://etherscan.io/tx/0x2f02a27ad531030f91d1c2ac2f81c919b0df5284e722b84b37018619d1a1989b
I just want to steal the constitution with my online friends,0.01,https://etherscan.io/tx/0x9944dadf0bf03b0b3c489a47a38d342dd6f93090bd6a2faa30d575a5aaf1a2c3
,0.08,https://etherscan.io/tx/0x74b6427bbb01c734880b6eca5c9ddf0313cda611cd12cf0f34a90afc58679cda
I love the Coin of People,0.1,https://etherscan.io/tx/0x2cb88d6331ee8759571167be03c6563e798b4e4c60a210d9d81307fa962da0d5
,0.3,https://etherscan.io/tx/0xbf518214beb5bf82aa7be61dd0d44d02f0157e2b0144bc926b1565c72a816ee5
,0.5,https://etherscan.io/tx/0xa86c3f5d3d36300d73da7311dab89d1329a459c650debf70718211225d6f1e6f
MAGA (Doge),0.013,https://etherscan.io/tx/0x778df836cd2f48f106d7677a4b1d123a7a384e1e073cd4ae0b79a752a8f635f9
by us people,0.01,https://etherscan.io/tx/0x6773c4d5a31ee8edc481ad53fda2c48899371299f67386c9defea47ddfb75a8c
,1,https://etherscan.io/tx/0x029e9d464d902950e8fe9aa9dc26a800acbc1ce8102ec5682f1f4b0f157fcd4b
to the people,0.01,https://etherscan.io/tx/0x306c4edce5604e8432127163bb26c3ec50d70d85a1ae9a413fccbed07752f1b5
,0.01,https://etherscan.io/tx/0x229f2f0354c5d71104aaa24cc5ef39f5ba85673e1d36f2c964e71f93f6ef3a86
,0.0612,https://etherscan.io/tx/0xbe994fd5a9928d9050ded0aaf801997b435114e4c8777b5eaa906568cae4dcd2
For the people...,0.1,https://etherscan.io/tx/0x8afddee54fdc0c58a97724eadc0ffbb80ffe3b5d433a0d8d0b1896e0bb91b44b
,0.08,https://etherscan.io/tx/0x319dc427b762cd12e1d848f800e6fa3d1bed9471b8c4259b399aa0c87d55a979
,0.007,https://etherscan.io/tx/0x6a84276ae1a7e9aa16db4943c79b79745a229b19ccdb51c342a9feb421d8eda1
,0.008,https://etherscan.io/tx/0xb1b738518e2ea24a17b1cb5da9cde4d0fa5835e53872eb553256d079fb37e561
爱爸爸妈妈姐姐,0.2,https://etherscan.io/tx/0x442595cab5f9a9731772a802f7a42741fa7ad636a67a63698f1cf513ea398361
,0.02,https://etherscan.io/tx/0xdf2186c57189d3eb1cbc086ddb3ecedd3d2d4e30ef496c25bd3669d07ec20dd9
荣耀归给神,0.01,https://etherscan.io/tx/0x38e496644492441e12db6fe898c704b16939e719a0673321d9f49a85561759ba
by the people,0.01,https://etherscan.io/tx/0x1c4cf603c0fc9890543a23f1f4495682642423547631b85bebe18a6369c3f79c
,2,https://etherscan.io/tx/0x8b0bd3d99672a377b5db8e725e5c94c594bdf52dad0e2058587ec6ba4f1a6586
,0.1,https://etherscan.io/tx/0x6611cd90ef4293f8117d36dce390bf9e5937be2543b3484ee99d97d3543c916e
冲,0.005,https://etherscan.io/tx/0x74e2a71ea6bd2c5a6ed5a9fa4ff29f6bd89ba6730c89883005dc2176ee44f8b8
Let's goooo,0.01,https://etherscan.io/tx/0x47c76f08c7657ef4eab418496e999bd28e3845251bdd3a4ea548ac27419c356d
Manolakakis Was Here,0.58,https://etherscan.io/tx/0x2b745f9badf1186a9989d049ed2ec1133498102850b2368ac54d6f12ec0ea220
for our constitution,0.01,https://etherscan.io/tx/0xc63169f0194747df01a85ef9602e4db584bb187cb408dbda487da9a5274b03a4
,0.02,https://etherscan.io/tx/0xa9f4443a7d56662242db2e82a15a47addbd73462a9327d044f57f925cfa6c0ed
,0.05,https://etherscan.io/tx/0x5f98593972e5ec85dea8d7d4c0e4038d84c198f7e6720aef547b2bbbea8b9ad8
we are the people,0.01,https://etherscan.io/tx/0x7ce6c5070b863ffa84720c46bd7947ebfa97335571ea93ffd20c1b24ba2ba415
,0.2,https://etherscan.io/tx/0x53d29f1421565786169859d22a44f00f90ee5f784d3b6aa08698c9eba4a064a8
we are family,1,https://etherscan.io/tx/0x4f02e9f3fe7f2962ab431e48279129e660322da7f867a8ea6767c648e7b42d4b
"(Pergamena, Pergamena)",0.1,https://etherscan.io/tx/0xc7bd36a879fb3da90d9b67b0f394e5041512ebc0b2894b9766582d24ab9588c8
,0.005,https://etherscan.io/tx/0xee1ce980a704b0c5e384c60f3633cd8970ee1ebbe15812c4784fa6b17f026858
longlive USA,0.01,https://etherscan.io/tx/0x09a3b12a653ddc81d98f69e9deffa4f509916fbccc66e4fdd59914b76b14580e
,0.05,https://etherscan.io/tx/0xebecf6723de8fd5fd635d167288537c149de5cdd47181ef14e28a802ec9e9114
"love you all, from blockchain Media BlockBeats:theblockbeats.info",0.015,https://etherscan.io/tx/0xd49735f41ff4ecebdfea6f93ecc9f31d129ee95bc021f83977994155e8b28ae0
,1.5,https://etherscan.io/tx/0x0661c429fa42cb3a14753901ca04b319d8dec65a7ab76d394d0b466321530fae
Lets do this !!,0.0119,https://etherscan.io/tx/0x2d53ee42296cd349c31153bb3102ce371033aa214c5bcc0822d1ec6032627068
yong999,1,https://etherscan.io/tx/0x448b114fa4e929efba2728eaa754d3fe52be17475bd8f17641d181764a5b1340
yong999,0.01,https://etherscan.io/tx/0x1888d5b76930d295b801a8ae059501fa872a2ea73d8a094edc294e132b079624
love from asianlifematters.eth,0.21,https://etherscan.io/tx/0x185a4e72dace1261d9f4834e6b972309c9632a0d2c67c8ab075ed17cf63a4d97
yah yeet MURICAAAAA,0.005,https://etherscan.io/tx/0x0de566c4beaa71a28d722d24a6395a40dad381c0720782f6dc1a3a45c13d0280
,0.02,https://etherscan.io/tx/0xdf0df966130b4951e69dd0c3aaab445d8ffca9d6ff47c3789b5c977bf0be6bb0
,0.01,https://etherscan.io/tx/0x904737d926b0a2f2753cef800ddeb9248cf32815e132066ff3f3154245a778b0
,0.1,https://etherscan.io/tx/0x974b43801a728689f81c019c0bc6ec5c23afd531c60bfae7c24b34709910c778
,0.1,https://etherscan.io/tx/0x5b53650a1f65af49fb51780469a79f1487b2d34a4f0ba4c333df32adf5370d19
中国万岁,0.1,https://etherscan.io/tx/0x29796dc946163686cb41b87edb7263939f16a203f0a965dad9c303f21a022732
,0.02,https://etherscan.io/tx/0x0246a797dd7702a2140d930350b799f5586cd6f1c49d5bfc16b2161b23590d7c
,0.002,https://etherscan.io/tx/0x73291976ebd1dbb02397007c63443cc8a49a4c90f93f4ac873216fdb171583c2
,0.1,https://etherscan.io/tx/0x435c45d84c920d0f8cc7ec97bf5b057f7add41b68836b3f9aa14e05f058c7ee9
this is an exciting experiment!,0.02,https://etherscan.io/tx/0x395bc0789a602a5745c8182e7403a1e07e371377c6645dd58b62e16ba7eb4ea9
,0.08,https://etherscan.io/tx/0x2f3c7bdc7f15e2fc5ea20e76d92dc624f86f7763ef2713ab2a0065794544a004
,0.5,https://etherscan.io/tx/0x05b6abe3a7b0a98d2b166a9fc8b00b4b158aacd30cd814674379a9fed7e7c31c
,0.1,https://etherscan.io/tx/0x284c9d640f4dab1cf5a1c62ce66a2f2e72c8ec3c2accaac264661f0c9ab11df2
,0.03,https://etherscan.io/tx/0xb1e3f71e13345195b75728811cbca108d70e95de72efba33b5a0f484723765d2
革命尚未成功 同志仍須努力,0.0178,https://etherscan.io/tx/0x3bb80d08effa7dcc421a0aed13a69ece05f4068cb32bd0243ffc1f02d66f02f1
,0.04,https://etherscan.io/tx/0x45ee48fc98d9facb496a301eaa5f87d52ad97c1cc292807862b5882686c2ad50
We the people,0.01,https://etherscan.io/tx/0xbfdd51e3ea96cf7632206091fd4a6525ed31d12a3fc8ae45b67c8492ef419d96
看新闻我只看律动BlockBeats theblockbeats.info,0.05,https://etherscan.io/tx/0x4528340c38c08ccd1ab02acfe199e16ad8c879995306e4f1ca464138cf8014df
,0.5,https://etherscan.io/tx/0xcf84a9d2ed312cacba4c74c59dea82b92f13e5fc3a693686f59f61f071018cc6
love from asianlifematters.eth,0.0000,https://etherscan.io/tx/0xdf336f9206c778fe99ea5afea2d6beae92eb1d4a68a7ce894d9573e4f59dfbaf
,0.2,https://etherscan.io/tx/0x599ba41fe8d4b02a65e9daddd9edc323345395ad6ba6d5c45f64d6f700a71ee2
,0.1,https://etherscan.io/tx/0xbb998f79823dcb8cee7801509795a0223737515d9513b6a7b446d66b72f0be2a
一起摇摆,1,https://etherscan.io/tx/0xe96bce05d870c70443dfa91aaf70e9a29ee5be84eb34d3d9bb06c43ff16aaf1b
$PEOPLE is the real people's coin!,0.13,https://etherscan.io/tx/0x68ff726687d646c4d33fdcf15477ad630da7ac5d5ef25dca33bdc1cb08891f5b
,0.1,https://etherscan.io/tx/0x87f3dbccb724833c665fbfaab9f0e98931a2c319d37431b1c39760a1579f5cc0
,1,https://etherscan.io/tx/0xebd5fc950ec6e9755eaad4b84efee099df8a23224a247c5667be5decf4bd070e
,0.0119,https://etherscan.io/tx/0x05ac33fde70497a8596f18ceabce84c28ca530b35fe20a27b115ca4d1a96ef1d
,0.1,https://etherscan.io/tx/0xb606410f954791d2e464d72fe857834a4289f939d8f5d6a97c9aba84aee65a4c
for the people,0.01,https://etherscan.io/tx/0x440a28b6650e7401372a780ec6f74715814b3650ce460ccab56e02075885e887
,0.04,https://etherscan.io/tx/0x1b9db4650599710d171bdb795d04f90a90615b1b4f0857689a8987557ab5c6b3
Edward From VietNam. Let's buy US Constitution !,0.4,https://etherscan.io/tx/0x122bc6f429b969cd240be3d112216b3a92a786d14cbd154f64c545f90a222c5e
wuzhenqian,0.01,https://etherscan.io/tx/0xc3b33a4c292298aeb4d2e2b82d1a6c93cdbae3d4cf81a0ef7859583d40904fab
,1,https://etherscan.io/tx/0x3a3a467189a8e34176c93306c0eae7a4f651eeecdebbe03a252d94cd387baaa6
,0.01,https://etherscan.io/tx/0x29441d10ae2545eba7b2c6a3cb689f4ed0492ded4ee09112d005503d46f62a11
WE!,0.1,https://etherscan.io/tx/0x7c5d69cc8eb3eb321c6605dc3fc7b396ca05ecf78ccd4ab1ec4ffa94520fd0b4
,0.03,https://etherscan.io/tx/0x6bab0474aa812e66c44331a556e74c6c6ec97986b4666e4c9a10636f13bb909d
,0.1,https://etherscan.io/tx/0xd869720dd30f9fea5b47e449a92862f2fcd6f448d8dcccd7bdcda5f536003d8b
in retrospect it was inevitable,0.01,https://etherscan.io/tx/0xa3263581cbbdd008bef0a5dd9e4329aa93c87cb3695e16c4b833f3c029b0220e
,1,https://etherscan.io/tx/0x4cf4b0190dae279fdc78a91fc83a83a6d2e62c742a05a6c279cffbdb636e7096
"I love you,moon.",0.01,https://etherscan.io/tx/0x41fa9cdbfd9a988aa8655e4ea91468381c936f792ba7f91b28ea3b2fdf4d1b99
,1.4,https://etherscan.io/tx/0x5ec434491f94774d388a0604df06f2e32985d9f2850bd552d1b2f21a935d5a7c
,0.5,https://etherscan.io/tx/0xa0ffe4b9de2b6d95ae0c6e81edf24aad84759d39cbc922ceef884ed9ae295aef
For $People,0.05,https://etherscan.io/tx/0xb6746595cf2d46180689f5d9355fd0f0f88196153d03f8752a604988778562ad
,0.1,https://etherscan.io/tx/0x029ba03b641b3cca45e2c2549fd787e2ef3cb86ac75f4db2ebd839a13eba598b
"buy it,and burn it!",0.01,https://etherscan.io/tx/0x9ea0acab804891a91cdaf018ba8a87549b36328e406f23d5a400bc438ab6468a
,0.5,https://etherscan.io/tx/0x909d7cedf8a45648ab8b6055d455d0545e66e5f2142faf95d25b3f1925d64ec6
,0.01,https://etherscan.io/tx/0x8396157250c6db6fe12af01615ab9ff64da2efd052c9c5ab68f108dcd745dd2f
WAGMI,0.0178,https://etherscan.io/tx/0x8029907e7fb781f3ef3aacd142af6f90490b1a5271bf88180905ca43417e2167
WAGMI,5,https://etherscan.io/tx/0x19d8e50f3e6dcf971c0be74d557f25aa1210d5e28bd725ec255ce2d8dfff714a
,0.04,https://etherscan.io/tx/0x74f7e5d088f3cc02a9e313ccc6b16ffa4c0ba2bdc106346fa840de54992acc9d
,0.03,https://etherscan.io/tx/0x59c2cede714bb27e3aa8333201dbc2f3bf84e440fde389f0fa4987482b0ee528
,0.01,https://etherscan.io/tx/0x494e367c5c0109a1fb9657b84d040e18c159d8a1fd8b70491a68d6198b30fb41
,0.1,https://etherscan.io/tx/0x2102f894d4b76f914bd0ff57ee1a6c7df867b9b27a61f85395e8fd7112a1e86e
,0.0011,https://etherscan.io/tx/0x0befce04e2739f17a36938c55a226a382db26d3006dc4e4fb98ba265053b24c4
,3.7,https://etherscan.io/tx/0xfb25eb481686e47367187d42f8f99d00d78e2e27db29fdad7e3d1eeabfaab2de
,0.23,https://etherscan.io/tx/0xf97f7abc0b5ace9e8c3481b2241b1e36ba58fbd22c1cb8a169af2460d9058abd
,0.01,https://etherscan.io/tx/0xf53a4cce4f815c05f13ac6d050ee3747e44bb3fb8d2cfa4258bd36a5c1d5d84f
0xE567beAfB9E0E38f1580eCDc14c077646e6dFF29,0.03,https://etherscan.io/tx/0x7870928cec8fd5a387631f32008f602c620498de2ac0dd7119867a8bf4725638
,0.1,https://etherscan.io/tx/0x46a64d7d170c92f74d86f7f8b075c071cdb0a8404c073967c973e5835dbaec46
,0.2,https://etherscan.io/tx/0x1ae608c2b9c866bdb9700cc4496b29965d0d11b7568932afd986504be8765c38
We the PEOPLE will buy it,0.0595,https://etherscan.io/tx/0xf87c507b05ac4b1a2f299a8bb5770d8ab8c706e29319e345d6daba51d4a6fd4b
,0.293,https://etherscan.io/tx/0x3193fa9ab86da8b1f3805cb9f48344363ce188d1428198a00be46377f77dbcf5
Come checkout Edgeware! edgewa.re Full-fledged substrate chain as a DAO; owned and governed by community. Sustainable without any kind of token sales or VC backings! Edgeware's on-chain Treasury can fund ConstitutionDAO through public referendum.,0.081,https://etherscan.io/tx/0x105bc895a435c42f460aa29148dbd9b70e3c3f117e3b3c7d7861be608050edda
its happening folks,0.04,https://etherscan.io/tx/0x4ffa6dd6633486d5378db17573a700eb8433949d51419ba96d1f01855e49760c
,0.06,https://etherscan.io/tx/0x28dba752b01007a656626888fc1c235bcd6d1e737f57b80f935f7421d944d527
,0.1,https://etherscan.io/tx/0x21ccb55e209b94ba2147e58720b14ccaa29bd214cd9ce4c091f471f9b5a4226c
,0.01,https://etherscan.io/tx/0x0a9287f54f05e0351b028ab0eddbbeeedaadbab51e37d17d48fd5b18cfd38de6
,0.1,https://etherscan.io/tx/0x057e22cdc484f8d836239c21ff8e13b41efbeecdef668de56cecb812ea906c7d
jack,0.02,https://etherscan.io/tx/0xb9a5f41cb406c0a39c7cc547beeaccf013e600fceb9415827d58d8f34f6f7e7e
,0.3,https://etherscan.io/tx/0xa7ad6ee05ce142c0e8e295b7d2fd042e0bc42c19020d7e70d55d3851f7477e07
,0.0035,https://etherscan.io/tx/0x7ea325993d5a8ef50dfcab0a5b2b286711d6e31487866cffd20fd3591e5290e6
#WGBTC for all people.,0.12,https://etherscan.io/tx/0x7aaae71ff19e494febb3525f9279a3e69d656bdfe6db28fc1547611aaa86d8c0
MG7288JG11115JG21217,0.011,https://etherscan.io/tx/0xf630b42307a9feacada5d630453e61b06a014d33838b081b25c15522433491ef
,0.05,https://etherscan.io/tx/0x4ee04a67580f88ef79ba45a27979755408f177b4e728d6fbc2b9965fa97e89a3
,4.2,https://etherscan.io/tx/0x43e279be4b79c71e6a7c387d7f0006692b89a481c3aa62186a2340302514313a
,0.5,https://etherscan.io/tx/0x34f7c97c6b3dc6611ccf40697cdbf1184630e16859219ce7adf1d7f417c38cab
,0.06,https://etherscan.io/tx/0x8e7ba39cb3c80082b133222472179a3b9d8a948c23723b87040fc7f228dd6fa4
,0.23,https://etherscan.io/tx/0x64754b8c3cc8705e1fc3af305b362831b76167095048d2e164e47e211ebe60c5
for the people!,0.1,https://etherscan.io/tx/0x8d68b8f8af9ef2e889538348248eac7808952774d55341f9cd0fd840913807b9
,0.5,https://etherscan.io/tx/0xf727acea2407e34ce509a82fec5cc04fc119c73798edf6167954f6ae1f744716
,0.01,https://etherscan.io/tx/0x17f602d8ec292e3084e051d2e21922aaf2351550d3f2315eed6605d69058a338
PEOPLE CREAT EVERYTHING,0.1,https://etherscan.io/tx/0xdabf24b35ae9c4172c81798c232f36a9d000d46b247e31ba530661ca2710ab45
,0.05,https://etherscan.io/tx/0xaaa68277980c70298973ad8c5ef300bf584f5ba1d173d3cd27d06f4767743726
'Muricaaaaaaaaa,0.1776,https://etherscan.io/tx/0x18e94904ff08222102f50b707907321f4a9507a2452736d9538fbe4e1f493f1f
자유 화이팅! ✌,0.005,https://etherscan.io/tx/0x3d02b634bf5274930949a25fa2a5adfcde332ec75146c5759ca2180301336ac0
,0.01,https://etherscan.io/tx/0xfb6876d5dc758f9f7b61629aad771b0c72e77b4824828a58aa786faaf741d8e4
丹，到此一游,0.04,https://etherscan.io/tx/0xc4228f4d53b356abb0a4dcd1004beaf47e8926829e010e3d2eec5dd0c665a8f0
,0.003,https://etherscan.io/tx/0xb0a6bfffd66f61b93e5b0d78d94b163ed7367835eba54d326b915098ad03caac
,0.1,https://etherscan.io/tx/0x6d65b2d256d4a9f48ffc059cb2957126a59d1c24822f9acdf0c8b203244eb268
NFTGO is the best NFT data aggregator in the world,0.03,https://etherscan.io/tx/0x4ae789a38b88abc8679d446fb00c1fc5d4a41678bd7c74047dcb6779bd4a49ec
,0.2,https://etherscan.io/tx/0x08317db4e556eec37a6c36966beb324b373b95144992e399c1cf2fc02c3dfbb3
42 usd,0.01,https://etherscan.io/tx/0xe8ef85af69336145c3a1c3f8236083a0cdbf31534bbf72a6b6700f799807039a
,0.9,https://etherscan.io/tx/0xa99624ef175f974004fff59c8456e6d5d9e72e6177409b155c2a80c31c7f3161
up,0.1,https://etherscan.io/tx/0x567607875728be3ee985028caba049e9fde62156a06d04822e97d3a3356fe6e8
,0.4,https://etherscan.io/tx/0xa9a5630c815f9e54c3f16644609ee3712842048d2f62cfb9ac9245ca6bc4412b
for the people!,0.05,https://etherscan.io/tx/0x0cb74892b9ad28832ac0a6d5f82d7833ded1efbeeb991ce756fefe1c00003bab
Mexico sends their regards,0.008,https://etherscan.io/tx/0xe4d4d5021035da926c65da53dde0c8a439c6b4635e1766524d848192a8ca8c24
,0.7,https://etherscan.io/tx/0xa2213ef8768c5f3c784988f7894212dae29b36d6951d0aba083ceb7b5ab396c9
,0.1,https://etherscan.io/tx/0x0717d58d75bd82ea4851cfa912a6a52c06a4e3145d445d98eb7237df49af469e
chaungyi001,0.1,https://etherscan.io/tx/0x7567c88b14a0613c60b21c7d0dbec039ba8ec5063b7a47b431bc6dd1b80b0ef4
blockchain,0.1,https://etherscan.io/tx/0xfdf6fffa9ed9a1cb063de589614d7b93908d8293cb5eca40de31530cc3d1cc79
good luck,0.011,https://etherscan.io/tx/0xec8aaec55337c7734d96bfecc2834ee0809490fd11795cddeab811af18213011
make us great again???,0.1,https://etherscan.io/tx/0x77029d5f2112f65eddd937a1befe94e48b9deb3a7e55aff39bc11140b6cc8037
,0.05,https://etherscan.io/tx/0x8881722491039fbb644b8ac902961b992de8e85a1e7c2eed1ca61e0899dbabc4
,0.035,https://etherscan.io/tx/0x5a9a6ffdbb19d36178c4fb6df513faa38e1540d838b798240b0ee32ddd75d64b
,0.5,https://etherscan.io/tx/0x5598235b6f00ac2404dcd773e196b56a42c8d40fa5168e43a2dc0160f7f2ce55
,0.12,https://etherscan.io/tx/0x2d9d26e06920822c4e4495d6b1ddd37f25a4535762475a65385d569e8e4ff6b6
